Unnamed: 0,云途轻小件专线挂号（特惠带电）,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
返回目录,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),运费(RMB/KG),挂号费(RMB/票),
运输代码:YTLSPC,澳大利亚,5-15工作日（偏远邮编除外）,1区,0＜W≤0.3,,,42,19,
生效日期,澳大利亚,5-15工作日（偏远邮编除外）,1区,0.3＜W≤0.5,,,42,20,
2025-05-12 09:00,澳大利亚,5-15工作日（偏远邮编除外）,1区,0.5＜W≤1,,,42,20,
,澳大利亚,5-15工作日（偏远邮编除外）,1区,1＜W≤2,,,42,21,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,0＜W≤0.3,,,52,21,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,0.3＜W≤0.5,,,52,20,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,0.5＜W≤1,,,52,23,
,澳大利亚,5-15工作日（偏远邮编除外）,2区,1＜W≤2,,,52,25,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,0＜W≤0.3,,,78,19,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,0.3＜W≤0.5,,,78,19,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,0.5＜W≤1,,,78,19,
,澳大利亚,5-15工作日（偏远邮编除外）,3区,1＜W≤2,,,78,19,
,,,,,,,,,
,,,,,,,,,
,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),首重,续重,
,日本,4-5工作日（北海道冲绳5-8工作日）,,0＜W≤1,0.1,0.1,14,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,备注说明：,,,,,,,,
,一、计费重量,,,,,,,,
,1.日本：100g起重，包裹按实际重量计费，不计材积,,,,,,,,
,2.澳大利亚：体积重低于实际重量2倍的，按照实际重量收费；达到或超过实际重量2倍的，按照体积重量收取。(体积重=长*宽*高/8000),,,,,,,,
,二、是否包油,,,,,,,,
,以上为含油价格,,,,,,,,
,三、服务国家,,,,,,,,
,1.日本：全境可达,,,,,,,,
,2.澳大利亚：不可达邮编为无实际地址邮编，其他全境可达,,,,,,,,
,四、申报价值和注意事项,,,,,,,,
,"1.日本：1)不接受申报价值超过70USD（10000日元）的产品,发往日本单个包裹产品数量不能超过10个，否则可能会被海关判断为商业件导致清关异常（瞒报被查客户承担税金）包裹到达目的地内7天未放行的包裹将开始计算仓租，如因查验产生仓租，云途保留对发件人收取仓储费权利，实报实销且不一定都能提供凭证。",,,,,,,,
,2)2024年5月1日起，产生关税的包裹将相应收取关税，关税金额实报实销。即使没有相关轨迹，只要产生了关税，将进行收取。,,,,,,,,
,3)仅接受个人使用为目的的包裹，收件人地址不接受商用设施地址（如公司、仓库、餐厅、酒店等）。因收件人地址被海关认定为商业地址且造成的任何损失，由客户自行承担。,,,,,,,,
,"4)收件人姓名必须为全名，不能为缩写或仅有姓或名，否则将影响通关导致不必要的时效延误。（例如收件人姓名必须为：""山本太郎""，不能仅填写""山本""）",,,,,,,,
,5)由于清关资料不足等导致无法清关的情况，需在14天内补齐相关清关资料，否则默认销毁；,,,,,,,,
,2.澳大利亚：货件品名和申报价值需如实申报，不接受模糊品名申报；不接受申报价值超过135美金，且不接受同一个收件人名且同一地址，当天累计包裹申报价值超过135美金（瞒报被查客户承担税金和增值税）。不接受色情书籍、影像、电脑游戏或者其他性用品，尤其注意不接受涉及或有争议涉及儿童的色情产品。,,,,,,,,
,五、走货属性,,,,,,,,
,1.所有国家均不接受任何带品牌产品，不接受涉及标志专有权包裹，任何外观设计、品牌、Logo、含有国际动漫卡通人物图案等的侵权产品一律不接。如球队俱乐部、协会等图案标志及文字的商品。,,,,,,,,
,是否是品牌可参考知识产权海关备案网，其备案并授权信息请咨询我司客服或业务经理。但最终实际以当地海关认定结果为准。详见知识产品网清单,,,,,,知识产权网,,
,2.所有国家均不接受纯电、液体粉末枪支弹药等违禁品,,,,,,,,
,3. 日本：,,,,,,,,
,1.禁运物品：,,,,,,,,
,1)涉及他法令物品、纯电，液体、食品类等属性包裹、真皮材质类、毛材质织物、仿牌和侵权商品、二手物品、婴幼儿玩具、添加石棉的商品、防弹衣等本身具有特殊功能商品。详情请日本线路禁运品清单。,,,,,,,,日本线路禁运品清单
,2)不接受纯电、干电池、液体粉末枪支弹药等违禁品。,,,,,,,,
,2. 可接收物品：,,,,,,,,
,1)可接受内置电池、配套电池（功率不超过100W·H),,,,,,,,
,2)可接受普货、服装、纺织品类物品可发，但需注意：,,,,,,,,
,a. 品名填写格式：服装类：男/女式+面料材质+织造方式+服装款式  例：中文品名：女式棉梭织连衣裙  英文品名：Women's cotton woven onepiece  例：中文品名：男式棉针织运动衫  英文品名：Men's cotton knitted sweatshirts,,,,,,,,
,b. 鞋类：人造皮革类需要材质，其它不需要  例：中文品名：PU鞋、运动鞋 英文品名：PU Shoes 、Sport Shoes,,,,,,,,
,3)涉食品届相关产品，每个包裹限制1套，且必须为个人收件地址和姓名，收件人姓名禁止填写公司，收件地址禁止填写公司地址，否则将会被海关销毁且需发件人承担销毁费用。,,,,,,,,
,4)发往日本单个包裹产品数量不能超过10个，否则可能会被海关判断为商业件导致清关异常（瞒报被查客户承担税金）,,,,,,,,
,其余禁运产品详见禁运品清单,,禁运品清单,,,,,,
,六、重量要求,,,,,,,,
,所有国家一票一件，不接收一票多件包裹,,,,,,,,
,1.日本：只接受小于等于1kg以内的重量段包裹,,,,,,,,
,2.澳大利亚：只接受小于等于2kg以内的重量段包裹,,,,,,,,
,七、尺寸要求,,,,,,,,
,1.日本：三边和不超过60cm，最长边不超过34cm，厚度：不超过3cm，尺寸以到我司仓库实际测量为准。不接受超尺寸包裹发此产品。超尺寸包裹会被退件或者需自行换产品重新下单。,,,,,,,,
,2.澳大利亚：最大尺寸限制：59*49*39，三边之和不能超90CM,,,,,,,,
,3.其他国家最大尺寸限制：60*40*35cm,,,,,,,,
,八、派送地址要求,,,,,,,,
,1.所有国家：不接受亚马逊仓库地址，不接受军事地址,,,,,,,,
,2.日本：不能派送APO/FPO军事地址，不能派送亚马逊地址，可发冲绳县或岛屿类偏远地址。无偏远附加费。该产品不支持改派，仅支持退件重派。,,,,,,,,
,3.澳大利亚国家分区邮编,,澳大利亚分区邮编,,,,,,
,九、退件重派,,,,,,,,
,1.本渠道不提供从国外退回国内的服务；,,,,,,,,
,2.日本：派送不成功，退回我司海外仓的情况，包裹免费保管14天，超过14天未通知我司处理意见，默认销毁处理。 重派费按40RMB/票,,,,,,,,
,3.澳大利亚,,,,,,,,
,1) 如包裹退回云途澳洲仓库后重新派送，运费计算方式如下图所示：,,,,,,,,
,重量（KG）,运费,,,,,,,
,0<W≤0.5,CNY31,,,,,,,
,0.5<W≤1,CNY32,,,,,,,
,1<W≤2,CNY35,,,,,,,
,2) 澳大利亚重派期限为14天，即自通知客户包裹退回起，14天内，客户可选择重派，若超过14天后无回复，包裹默认被销毁。,,,,,,,,
,十、赔偿标准,,,,,,,,
,1.赔偿受理截止时间：云途发货后60天内必须提出申请，超过60天不再受理,,,,,,,,
,2.赔偿标准：,,,,,,,,
,服务商官网有轨迹则默认为包裹是已上网状态,,,,,,,,
,①未上网（若包裹在我司至到达服务商的这期间丢失），经我司确认丢件后，退运费；按系统申报价值赔偿，最高不超过300RMB/票,,,,,,,,
,②若包裹已上网，海外未回复，则不予以赔偿；若经我司与海外确认丢件后，将不退运费，按系统申报价值赔偿，最高不超过300RMB/票,,,,,,,,
,③加拿大末端包裹上网之后，不提供赔偿，可以协助查件,,,,,,,,
,④澳大利亚末端包裹上网之后，不提供赔偿，可以协助查件,,,,,,,,
,⑤说明：以上运费（包括速递运费、挂号费）,,,,,,,,
,3.索赔资料以及要求：,,,,,,,,
,①未上网（包裹在我司中转过程中丢失，经我司确认丢件的）：不需提交索赔资料,,,,,,,,
,②已上网（服务商确认丢件的）：平台退款截图(有交易单号）或 补发单号/补发证明（非我司）,,,,,,,,
,③索赔要求：a：需要满足可索赔时效；b：无轨迹更新或开查无结果（异常轨迹例如派送失败、到达代取、退件、扣关等场景除外）,,,,,,,,
,④所有包裹在经云途确认丢失之日起30天内需提出索赔，逾期不再受理,,,,,,,,
,4.免赔情形：,,,,,,,,
,①所有赔偿必须经过开查流程，未经开查流程，不提供赔偿。,,,,,,,,
,②因客户原因造成破损、错发、误发、漏发货物、货物质量问题、双面单、重单、包装不符等产生的损失，云途不予赔偿。,,,,,,,,
,③因发件人、收件人地址错误/收件人拒收/收件人不在家/收件人未及时自提包裹等问题导致派送不成功，云途不予赔偿；同时国外退件由于往来海关多次检查，同时经中转环节较多，流程长，无法控制返程流转环节，因此云途只负责将收到的退件退回，对未退回和退回快件破损，内件短少的情况不承担任何赔偿责任。,,,,,,,,
,④如货物破损发生在运输途中（即出仓到妥投阶段），云途物流不予赔偿。,,,,,,,,
,⑤云途物流不对货物实际到达时效做任何形式的保证或承诺，故不因延误而承担赔偿责任，如果交付的货物违反法律规定或侵犯第三方知识产权或因未如实申报、产品描述过于简单等原因被海关扣货导致时效延误，云途物流会协助发件人提供清关文件。,,,,,,,,
,⑥如包裹侵权或者为其他违禁品导致的销毁、没收或产生的罚金，由客户自行承担，云途不承担任何赔偿责任以及不退运费/不予以赔偿。,,,,,,,,
,⑦客户交寄的货物应当符合法律法规的规定，并满足客户与向云途出具的《知识产权合规承诺函》与《货物安全保障协议书》中的具体要求，如有违反，一经发现，云途物流有权对客户交寄的禁限寄递物品采取拦截、隔离、冻结、停止运输、退回客户、扣留、销毁或依法转交有权机关处理等措施，因此产生的货物损失云途物流不承担赔偿责任，已产生的服务费用不予退还。,,,,,,,,
,如因客户违反前述寄递义务导致云途物流被政府部门、机场、港口管理部门等机构采取强制措施、行政处罚或遭受第三人索赔的，客户应按照1000元/票承担违约金，如给云途物流造成其他经济损失的（包括但不限于损害赔偿金、行政机关的罚款等），客户还应一并赔偿。,,,,,,,,
,⑧不可抗力约定：不可抗力包括但不限于社会异常事件（如罢工、骚乱、战争、恐怖主义活动、公共卫生事件、重大流行病、瘟疫等）、自然灾害（如暴风雪、冰雹、火灾、洪水、泥石流、地震、海啸、台风、停电、天灾等）、任何政府行为（如征收、征用、限制令、管制措施等）、意外交通事故、法规政策的修改、,,,,,,,,
,司法机关的行为、决定或命令、海关查验延误、航班延误及其他不可预见、不可避免且无法控制的情况或事件。在任何情况下，因不可抗力事件而产生的任何种类的任何损坏、毁坏、损失、滞期费或未履行义务，云途不向客户承担责任。,,,,,,,,
,⑨所有专线签收后的异常云途只协助开查，不保证有回复，海外未确认丢件则不予赔偿，有签收证明的云途尝试向海外申请签收证明(非签名产品则不提供)。,,,,,,,,
,⑩对于陶瓷、玻璃制品、特殊塑料工艺品等易损货物或植物及植物标本，文件、收据、回执、门票、优惠券等无票类物品，以及生食熟食、易腐烂物品等需要防热、防冷或有其他环境条件限制的货物，如客户确要发运，需自行承担货物损坏及损失的风险，云途无需就此类货物的货损承担以及退回已收取的运费；,,,,,,,,
,对于在云途服务期间云途发现已经损坏的货物，云途通知客户并与客户协商处理已损货物；如因情况紧急（例如不销毁将影响云途仓库安全或其它货物安全），云途可在紧急通知客户后径直销毁或作其它处理并不承担任何赔偿责任，客户不得无理拒绝。,,,,,,,,
,5.超云途揽收范围包裹的交寄方式及云途接收前的赔偿规则：,,,,,,,,
,①交寄方式：客户可选择自寄或第三方代揽收的方式交寄包裹，由此产生的费用均由客户承担，但选择第三方代揽收时，云途可为客户免除包裹运至揽收范围内的相关运费。不论选择何种交寄方式，客户均需要提前做好集包并确保与下单时填写的袋数/箱数保持一致。,,,,,,,,
,②赔偿规则：对于超云途揽收范围的包裹，在云途确认接收前产生的货损货失均由客户承担，云途对此不承担赔偿责任。客户自寄模式下，出现包裹问题，由客户自行向相关的服务商追偿；客户选择第三方代揽收模式下，出现包裹问题，云途可代客户或协助客户向第三方进行追偿，但客户应提供相关的证明材料，具体理赔情况以第三方最终确认的结果为准。,,,,,,,,
,云途对上述超范围包裹的交寄方式和赔偿规则保留随时调整的权利。,,,,,,,,
,十一、查询网址,,,,,,,,
,https://www.yuntrack.com/,,,,,,,,
,http://www.17track.net,,,,,,,,
,https://www.aftership.com/couriers/yunexpress,,,,,,,,
,十二、其他要求,,,,,,,,
,1.为方便清关，我们建议您提供销售链接和海关编码。同时，请您准确申报商品品名，如实申报商品价值，我司对客户交寄的包裹不具有审查义务。如因海关重新估值产生的扣关、延误、补交税款及额外罚款等不利后果，由您自行承担。,,,,,,,,
,2.申报品名不能为大类申报，必须为具体品名。如：不能只申报电子配件、部件等。,,,,,,,,
,3.同一个收件人，同一个收件地址当天发多个包裹，申报价值会累加，累加的申报价值不能超过该国家的最高申报价值限制（瞒报被查客户承担税金）,,,,,,,,
,4.因海关查验认定低申报产生的税金或者其他罚款/额外费用，包括但不限于以下场景，云途有权向客户补收相关费用,,,,,,,,
,1).因海关查验，海关直接要求包裹收件人提供查验相关资料至海关系统，被海关加收税金,,,,,,,,
,2).包裹申报的价值被海关认定低报，但申报价值依然在免关税额度内，海关按照更高的价值收取VAT，而包裹VAT是由云途代缴的,,,,,,,,
,5.对于陶瓷、玻璃制品、特殊塑料工艺品等易碎物品，如客户确要发运，需自行做好保护措施减少包裹破损的风险，我司不承担包裹转运破损的相关赔付,,,,,,,,
,6.云途物流根据本合同向客户提供服务不代表云途物流作为客户包裹的进口商。客户应当按照所适用的法律缴纳所有相关税费（包括但不限于销售税、增值税、消费税、进口相关税费等）和包裹进出口所涉及清关服务费（如适用）。,,,,,,,,
,客户须按照所适用的法律规定在当地税务部门注册VAT(Value Added Tax)税号或GST(Goods and Service Tax)税号，云途物流有权要求客户提供其合法注册的真实有效的税号。,,,,,,,,
